brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220926161612053005699,158,1469,09,210,01,003,021,006,1,男,42,good
50620220904170434966283819,79,1600,22,838,01,002,003,006,1,女,32,good
50620220923111914044191590,0,1200,22,832,01,002,008,004,0,男,27,good
50620220910172108999088186,199,1180,12,560,01,003,006,006,1,男,33,good
50620220925111015050089509,99,580,17,717,01,002,008,006,1,女,39,good
50620220914164537013255977,169,1014,31,230,01,005,003,005,1,男,47,good
50620220919115020032103297,88,439,09,210,01,002,007,004,1,女,51,good
50620220930140620061030168,0,1200,22,834,01,002,,006,1,男,29,good
50620220918172430029463379,129,1300,12,560,01,003,008,006,1,女,42,good
50620220928143806057361553,0,750,22,830,01,002,,006,1,女,52,bad
50620220928104619057097158,0,1200,22,830,01,003,,004,1,男,33,good
50620220910153951999010876,88,858,09,210,01,005,,003,1,男,41,good
50620220925104510050062424,199,1209,31,230,01,003,003,003,1,男,48,good
50620220922124940041660642,90,770,22,834,01,003,006,006,1,女,41,good
50620220923095719043832983,158,1469,09,210,01,004,005,003,1,男,53,good
50620220918145306029328380,88,507,09,210,01,004,,004,0,男,55,good
50620220929202500059447609,0,750,22,280,01,003,006,006,1,男,50,good
50620220908184254990850770,141,1150,22,817,01,004,006,004,1,男,48,good
50620220930165027061163417,99,2010,22,812,01,001,003,006,1,男,39,good
50620220925172201050486825,158,1502,09,210,01,007,003,003,1,女,41,good
50620220929165054059309020,0,950,22,831,01,003,001,004,0,男,26,good
50620220910092809996623810,129,760,12,550,01,002,008,006,1,女,49,good
50620220916152103019659301,0,750,22,831,01,002,006,006,1,女,31,good
50620220921093339037973305,158,1502,09,210,01,005,004,002,1,女,39,good
50620220922092628040965189,96,650,22,818,01,003,001,004,1,女,29,good
50620220907203540985618428,72,1404,31,230,01,002,005,006,1,男,54,good
50620220921142003038639600,198,1130,17,715,01,005,,005,1,男,45,good
50620220923134313044548585,188,1092,09,210,01,003,006,003,1,男,37,good
50620220908143358990224992,79,1600,22,826,01,004,006,004,1,女,47,good
50620220909182529994640947,0,1460,22,281,01,003,006,003,1,男,59,good
50620220910165537999067174,99,580,17,717,01,002,008,006,1,男,51,good
50620220914140445013089613,0,1200,22,280,01,003,006,004,0,男,30,bad
50620220904091435963367424,0,950,22,830,01,007,005,006,1,女,49,good
50620220906182715971668113,0,950,22,816,01,002,001,004,1,女,35,good
50620220926161819053011997,0,750,22,830,01,002,,005,0,男,32,good
50620220920132413035603169,99,2010,22,280,01,004,005,004,1,男,47,good
50620220903093511959540101,79,507,31,230,01,005,006,004,1,女,27,good
50620220901123833955087778,0,950,22,829,01,003,006,005,1,女,39,good
50620220908155849990318944,79,760,31,230,01,003,009,005,0,男,35,good
50620220902104734956915450,0,1200,22,830,01,003,004,004,1,女,46,good
50620220922110751041398761,99,2010,22,830,01,004,005,005,1,男,32,good
50620220924121953047469808,0,2150,22,834,01,003,,006,1,男,37,good
50620220930143638061076466,0,2150,22,825,01,005,001,003,1,男,50,good
50620220902182416957545376,159,940,12,558,01,005,006,005,1,男,59,good
50620220925130235050279713,128,1240,17,712,01,001,003,006,1,女,42,good
50620220929152916059243491,79,1600,22,816,01,001,006,006,1,女,54,good
50620220924155210047638036,0,1460,22,281,01,003,001,004,1,男,48,good
50620220919100300031217990,90,770,22,834,01,002,001,004,1,女,30,good
50620220930143245061076216,0,950,22,839,01,004,003,004,1,女,35,good
50620220908161301990328986,118,1092,09,210,01,003,003,004,1,女,24,good
50620220910124135998718185,199,1209,31,230,01,003,017,003,1,男,35,good
50620220927131831055435136,158,1502,09,210,01,007,004,004,1,男,55,good
50620220917150305024146791,139,760,31,230,01,004,006,005,1,女,36,good
50620220918181929029511937,141,1150,22,840,01,002,003,005,1,男,33,good
50620220918172510029464196,79,1600,22,816,01,004,004,004,1,女,32,good
50620220907175448983142644,99,580,17,717,01,001,008,006,1,男,36,good
50620220929165932059310847,0,1200,22,834,01,003,002,002,1,女,39,good
50620220925191846050572900,0,1200,22,280,01,003,005,005,1,女,41,good
50620220920111447035325809,199,1209,31,230,01,007,006,004,1,男,47,good
50620220922171140041853758,108,624,09,210,01,003,,004,1,男,31,good
50620220907153920981143642,99,2010,22,816,01,002,017,005,1,男,35,good
50620220907123912978416472,158,1390,09,210,01,004,,004,1,男,53,good
50620220929104052058925011,198,1930,17,715,01,002,009,004,1,男,39,good
50620220908180037990554791,0,950,22,834,01,003,001,006,1,男,52,good
50620220910091103996320793,118,1092,09,210,01,004,,004,1,男,49,good
50620220922142034041690056,26,507,31,230,01,003,003,004,1,男,38,good
50620220909144132994447345,0,950,22,834,01,001,006,006,1,女,25,good
50620220908094456989577248,0,1200,22,834,01,002,001,005,1,男,50,good
50620220917093939021010916,199,1931,31,230,01,003,008,006,1,女,34,good
50620220927122840055411677,0,1200,22,834,01,002,008,006,1,男,39,good
50620220920160839035763174,269,1600,31,230,01,003,003,004,1,男,53,good
50620220911093833001344406,139,1220,10,515,01,004,006,006,1,男,33,good
50620220910123350998647814,0,950,22,834,01,001,001,006,1,男,33,good
50620220909095326993680467,74,480,22,818,01,003,001,006,1,女,54,good
50620220913095712008943949,129,760,12,558,01,002,,004,1,男,54,good
50620220903163348961684412,118,1092,09,210,01,007,021,001,1,女,56,good
50620220921130454038615094,58,331,09,210,01,002,,006,1,男,47,good
50620220911143527002174336,199,1180,12,554,01,004,005,004,1,男,44,good
50620220906172508971618399,118,1092,09,210,01,003,,006,0,男,45,good
50620220930185220061250719,79,1600,22,816,01,003,001,005,0,男,29,good
50620220914120606013008707,159,940,12,558,01,004,006,003,1,女,41,good
50620220916120141019389865,0,950,22,831,01,004,006,003,0,女,24,good
50620220916120026019379559,158,1390,09,210,01,007,001,003,1,男,32,good
50620220917171059025284655,0,750,22,816,01,003,001,006,1,女,30,good
50620220912135835006403414,129,1300,12,560,01,003,006,006,1,女,49,good
50620220913112516009468118,129,660,27,930,01,003,005,003,1,女,47,good
50620220919101646031349184,0,1200,22,280,01,003,006,006,1,男,37,good
50620220926165254053043329,158,1502,09,210,01,005,009,004,1,男,54,good
50620220915155544016443551,0,950,22,834,01,003,001,006,1,男,42,good
50620220909182143994636024,79,507,31,230,01,002,001,006,1,女,60,good
50620220921205816038950710,72,1404,31,230,01,001,006,006,1,女,61,good
